iter	MultiClass
0	2.033979211
1	2.000687827
2	1.967764065
3	1.944122983
4	1.91514896
5	1.883553788
6	1.855341464
7	1.823918522
8	1.795018919
9	1.760825524
10	1.736487685
11	1.716813612
12	1.699930246
13	1.670694492
14	1.646797374
15	1.624884476
16	1.600608602
17	1.579200375
18	1.556672711
19	1.534850255
20	1.515663196
21	1.497728656
22	1.476739058
23	1.458848509
24	1.442901737
25	1.421355179
26	1.403177435
27	1.385311567
28	1.375765031
29	1.36169607
30	1.342133335
31	1.326058483
32	1.309912815
33	1.295659207
34	1.282349506
35	1.269136709
36	1.256788055
37	1.242655736
38	1.228080887
39	1.216525038
40	1.204930082
41	1.192710284
42	1.181625462
43	1.169318062
44	1.157726873
45	1.144668963
46	1.135191068
47	1.127209648
48	1.116694536
49	1.10574683
50	1.092407526
51	1.080305544
52	1.070590411
53	1.061506555
54	1.049467736
55	1.0393407
56	1.028233389
57	1.018075855
58	1.00859233
59	1.000168485
60	0.9929986101
61	0.9845547704
62	0.975025517
63	0.966308431
64	0.9568700679
65	0.9496806852
66	0.9423569445
67	0.9335248972
68	0.9253851575
69	0.9201002979
70	0.9129320065
71	0.9038766614
72	0.8960897596
73	0.8896043352
74	0.8816612828
75	0.8719755013
76	0.8641852216
77	0.8561990217
78	0.8497475603
79	0.8445571413
80	0.8388092892
81	0.8322454588
82	0.8265320322
83	0.8194303207
84	0.8107353416
85	0.8057870011
86	0.7990298738
87	0.7910426978
88	0.7854875897
89	0.7786342765
90	0.7751827618
91	0.7715432297
92	0.7667295302
93	0.7614046915
94	0.7561242533
95	0.7527928923
96	0.7505118657
97	0.7441425186
98	0.7385080421
99	0.7333718411
100	0.726897387
101	0.7195438913
102	0.7133272164
103	0.7092919117
104	0.7034427765
105	0.6985467898
106	0.6928867793
107	0.688158667
108	0.6838224401
109	0.6789077848
110	0.6747817136
111	0.6689858923
112	0.6662940932
113	0.6615924105
114	0.659050386
115	0.6554150949
116	0.6518133641
117	0.6470685286
118	0.6435238173
119	0.6397781472
120	0.6351965098
121	0.6295059269
122	0.6256592875
123	0.6237863624
124	0.6209894334
125	0.6188407536
126	0.6140564414
127	0.6110893009
128	0.6066896722
129	0.6036972289
130	0.6000447158
131	0.5963198332
132	0.5954742823
133	0.5914440391
134	0.5883170577
135	0.5850846072
136	0.5820385703
137	0.5799633389
138	0.5768261798
139	0.5744075422
140	0.5727614699
141	0.5703805105
142	0.5679811857
143	0.5657460021
144	0.5627801429
145	0.5582943411
146	0.5547475796
147	0.5513948801
148	0.5465675029
149	0.5433610772
150	0.5388427897
151	0.5367797667
152	0.5325430666
153	0.5294077277
154	0.5252007209
155	0.5229556689
156	0.5199968565
157	0.5165077796
158	0.5131666197
159	0.5111781202
160	0.5092396824
161	0.5078794152
162	0.5058258064
163	0.5027957738
164	0.5009922122
165	0.4988267593
166	0.4963498884
167	0.494298419
168	0.4919622348
169	0.4905750053
170	0.4884676153
171	0.4841541419
172	0.4811438116
173	0.4787068455
174	0.4751373047
175	0.4717273083
176	0.4684593001
177	0.4665645931
178	0.464693387
179	0.4632377426
180	0.4605719209
181	0.4578482917
182	0.4549047986
183	0.4523688018
184	0.4501070447
185	0.4469854526
186	0.4449416518
187	0.4432988404
188	0.4421353769
189	0.4400796064
190	0.4368526645
191	0.4339068111
192	0.4320178935
193	0.4307771789
194	0.4292545667
195	0.4265059358
196	0.4257435425
197	0.4233639445
198	0.4211152661
199	0.419838881
