iter	RMSE
0	7.159873958
1	6.95000236
2	6.746266461
3	6.547655242
4	6.355938695
5	6.169937969
6	5.989651081
7	5.817056958
8	5.647711837
9	5.482546527
10	5.323587386
11	5.169050478
12	5.017733274
13	4.870969477
14	4.728924012
15	4.591034389
16	4.457440594
17	4.328238413
18	4.201527298
19	4.081339619
20	3.963370265
21	3.8488342
22	3.739519856
23	3.633110298
24	3.528897655
25	3.428675805
26	3.330876995
27	3.236311362
28	3.145948329
29	3.05574623
30	2.970955797
31	2.887428151
32	2.807671008
33	2.72942775
34	2.655000253
35	2.582115455
36	2.511155934
37	2.442536202
38	2.376515459
39	2.310761662
40	2.248889768
41	2.188880698
42	2.131761556
43	2.073281128
44	2.019109756
45	1.966387396
46	1.915508792
47	1.866291493
48	1.818895093
49	1.770469479
50	1.723869038
51	1.678788608
52	1.637980322
53	1.597946123
54	1.556746391
55	1.517446838
56	1.479913413
57	1.441990672
58	1.406330895
59	1.371934604
60	1.338364004
61	1.306761329
62	1.27766082
63	1.247131117
64	1.217799853
65	1.189525767
66	1.165035717
67	1.139412706
68	1.114531361
69	1.090405646
70	1.066796746
71	1.043370692
72	1.020751403
73	0.9996318495
74	0.9792562483
75	0.9589092752
76	0.9393282526
77	0.920962721
78	0.9035970055
79	0.887367313
80	0.871327834
81	0.8552795184
82	0.8401957308
83	0.8253590307
84	0.8112302566
85	0.7974198663
86	0.7848201101
87	0.7728314713
88	0.7614522731
89	0.7502845966
90	0.7395583177
91	0.7294377161
92	0.7198086064
93	0.7102596896
94	0.7016936198
95	0.6929448917
96	0.6857835367
97	0.6775813836
98	0.669791434
99	0.6631575824
100	0.6563615054
101	0.6497952286
102	0.6435406726
103	0.6376960929
104	0.6328638211
105	0.627466753
106	0.6221998732
107	0.6168791582
108	0.6120883192
109	0.6075955532
110	0.603002931
111	0.5988474412
112	0.5947712113
113	0.5910259788
114	0.5881914804
115	0.5848577199
116	0.5814223751
117	0.5783846382
118	0.5755770518
119	0.5728506058
120	0.5699791983
121	0.5675114178
122	0.5652282269
123	0.5626208517
124	0.5605521235
125	0.5581294324
126	0.556019024
127	0.553878697
128	0.5517287906
129	0.5501777709
130	0.548244735
131	0.5466250809
132	0.5451689902
133	0.5438324523
134	0.5422484968
135	0.5410951188
136	0.5400257189
137	0.5389607767
138	0.5382771143
139	0.5373417422
140	0.5363157274
141	0.5354555439
142	0.5346012569
143	0.5337738008
144	0.5329615558
145	0.5321595979
146	0.5312290916
147	0.5303675324
148	0.5297394655
149	0.5293059009
150	0.5286992266
151	0.5279529125
152	0.5275609869
153	0.5268653398
154	0.5262693496
155	0.5257643269
156	0.5253030422
157	0.5248347339
158	0.5243589313
159	0.5238606862
160	0.5234659831
161	0.5229873933
162	0.5226186446
163	0.5223303579
164	0.5219253103
165	0.5215892505
166	0.5214342606
167	0.521068071
168	0.5207172288
169	0.5203777569
170	0.5201334539
171	0.5199103363
172	0.5198047338
173	0.519526347
174	0.5192405813
175	0.5190797083
176	0.5188907694
177	0.5187199862
178	0.5185185335
179	0.5182860637
180	0.5180643089
181	0.5178528357
182	0.5176367806
183	0.5175024586
184	0.5173658243
185	0.5171667222
186	0.5170529761
187	0.5168184439
188	0.5166774694
189	0.5166446391
190	0.5164820606
191	0.5163402322
192	0.5162574694
193	0.5161235334
194	0.5160036701
195	0.5158402431
196	0.5156803059
197	0.515579752
198	0.5154802797
199	0.51544951
200	0.5154260137
201	0.5153156044
202	0.5152225214
203	0.5151809221
204	0.5150273393
205	0.5149498753
206	0.5149002135
207	0.5148031134
208	0.514699337
209	0.5145537329
210	0.5145199635
211	0.5143998882
212	0.5143047695
213	0.5141767353
214	0.5141270063
215	0.5140120136
216	0.5138663742
217	0.5137874616
218	0.5137170252
219	0.5136399646
220	0.5136267394
221	0.5135939931
222	0.5135082502
223	0.5135005255
224	0.5134562458
225	0.5133493292
226	0.5133349588
227	0.5132874131
228	0.5132575498
229	0.5132251622
230	0.5131558905
231	0.5131026083
232	0.5130608751
233	0.5130129219
234	0.5129773846
235	0.5129306678
236	0.51291066
237	0.5128664562
238	0.5128252389
239	0.512821271
240	0.5127689033
241	0.5127122111
242	0.5127078499
243	0.5126086841
244	0.5125984546
245	0.5125595992
246	0.512393551
247	0.5123612842
248	0.5122908106
249	0.512288293
250	0.5122191477
251	0.5121751196
252	0.5121525267
253	0.5121513481
254	0.5121058547
255	0.5120536214
256	0.5120363754
257	0.5119866769
258	0.511978389
259	0.5119533572
260	0.5119003325
261	0.5118273286
262	0.5118163892
263	0.5118085596
264	0.5117995308
265	0.5117525111
266	0.5117334019
267	0.5117214869
268	0.5117073641
269	0.5116685084
270	0.511536807
271	0.511449955
272	0.511402326
273	0.511380355
274	0.5113532134
275	0.5113422328
276	0.5113370534
277	0.5113266939
278	0.51123186
279	0.5112315175
280	0.5111487009
281	0.511081522
282	0.5110603079
283	0.5110512893
284	0.5110393145
285	0.5110156456
286	0.5110022868
287	0.5109646705
288	0.5109322902
289	0.5109297643
290	0.5109175822
291	0.5108882179
292	0.5108152787
293	0.5107842163
294	0.5107704865
295	0.510705972
296	0.5106383021
297	0.5105277321
298	0.51048109
299	0.5104756414
300	0.5103998051
301	0.5103662955
302	0.5103631285
303	0.5103438585
304	0.5103319359
305	0.5103141368
306	0.5102097145
307	0.5102004924
308	0.5101808014
309	0.5101480446
310	0.510148013
311	0.5101103876
312	0.5101068124
313	0.5100737265
314	0.5100194904
315	0.5100148669
316	0.510010871
317	0.5099972077
318	0.5099449818
319	0.5099383151
320	0.5098577502
321	0.5098238837
322	0.5097210232
323	0.5096981979
324	0.5096919442
325	0.5096871348
326	0.5096673171
327	0.5096442496
328	0.5096293147
329	0.5096096926
330	0.5095692259
331	0.5095688971
332	0.5095497498
333	0.5095379471
334	0.5095376162
335	0.5094704603
336	0.5094239542
337	0.5093004989
338	0.5092965449
339	0.5092659762
340	0.5092171701
341	0.5092165146
342	0.509138892
343	0.5091382688
344	0.509136958
345	0.5091290864
346	0.5091273939
347	0.509125587
348	0.5091254693
349	0.5090726435
350	0.50907264
351	0.5090101385
352	0.5090093798
353	0.5090045003
354	0.5090037567
355	0.5089959869
356	0.5089600658
357	0.5089573254
358	0.5089556717
359	0.5089552197
360	0.5088458023
361	0.5087639144
362	0.5087624761
363	0.5086670032
364	0.5086460231
365	0.5086403404
366	0.5085732591
367	0.5085659381
368	0.5085595187
369	0.5085497074
370	0.5084351425
371	0.5083934838
372	0.5083878383
373	0.5083866497
374	0.5083050555
375	0.5083032874
376	0.5082287159
377	0.5082275274
378	0.5081869877
379	0.5081312427
380	0.5080374632
381	0.5080369144
382	0.5079906819
383	0.5079753255
384	0.507964807
385	0.5079534069
386	0.5078122738
387	0.5077760525
388	0.5077632118
389	0.5077011683
390	0.5077009423
391	0.5076998217
392	0.5076992981
393	0.507671991
394	0.5076255328
395	0.5076223965
396	0.5074627292
397	0.507461775
398	0.5074579081
399	0.5074499344
400	0.5074491713
401	0.5074171263
402	0.5073351024
403	0.5073096997
404	0.5072537614
405	0.5072518554
406	0.5072161116
407	0.5072135515
408	0.5072110758
409	0.507169573
410	0.5071689238
411	0.5071683042
412	0.5070994987
413	0.50709752
414	0.5070974736
415	0.5070951885
416	0.5070522518
417	0.5070401991
418	0.5070091303
419	0.5069622183
420	0.5069563159
421	0.5069236638
422	0.5069232099
423	0.5068739929
424	0.5068094405
425	0.5067173626
426	0.5067061461
427	0.5067055822
428	0.5067003841
429	0.5066928254
430	0.5066891358
431	0.5066838438
432	0.5066478661
433	0.5066437486
434	0.5064710072
435	0.5064706395
436	0.5064366161
437	0.5063985727
438	0.506358208
439	0.5063319724
440	0.5063308718
441	0.5062695235
442	0.5062629532
443	0.506246071
444	0.5062457407
445	0.5062454254
446	0.5062451246
447	0.5061338981
448	0.5060605235
449	0.5060501875
450	0.506048655
451	0.5060471888
452	0.5060380837
453	0.5060368484
454	0.5059972407
455	0.5059782448
456	0.5059738577
457	0.5059722484
458	0.5059722479
459	0.5059715724
460	0.5059412731
461	0.5059005439
462	0.5058809355
463	0.5058807813
464	0.5058768354
465	0.5058737216
466	0.505839674
467	0.5058377486
468	0.505830749
469	0.5058131792
470	0.5057940338
471	0.5057872973
472	0.5057806547
473	0.5057773422
474	0.50577717
475	0.5057514674
476	0.5057460297
477	0.5056785387
478	0.505678185
479	0.5056480875
480	0.5056392081
481	0.5056334044
482	0.5056283878
483	0.5055817623
484	0.5055652027
485	0.5055625926
486	0.505555148
487	0.5055500743
488	0.5055448675
489	0.5055321812
490	0.5055244958
491	0.5055241631
492	0.5055238693
493	0.505457145
494	0.5054461841
495	0.5054178883
496	0.5054035728
497	0.5053992804
498	0.5053990746
499	0.5053765694
500	0.505372507
501	0.5053437397
502	0.5053304007
503	0.5053240604
504	0.5053200879
505	0.5053103458
506	0.5052361428
507	0.5052083676
508	0.5052077231
509	0.5052042709
510	0.5051341699
511	0.5051246213
512	0.5051232272
513	0.5051200898
514	0.505106732
515	0.5051030982
516	0.505099936
517	0.5050988912
518	0.5050924353
519	0.5050486693
520	0.5050407299
521	0.5050337507
522	0.5050332168
523	0.5050317272
524	0.5050048946
525	0.5049692944
526	0.504966102
527	0.5049625115
528	0.5048668222
529	0.5048609085
530	0.5048302971
531	0.5047428424
532	0.5047161036
533	0.5047088298
534	0.5046448784
535	0.5046319006
536	0.5046089708
537	0.5045939953
538	0.5045909227
539	0.5045546681
540	0.5045069958
541	0.5044650487
542	0.5044422796
543	0.5044237712
544	0.5042880362
545	0.5042821392
546	0.5042697004
547	0.5042592697
548	0.5041070468
549	0.5040844375
550	0.5040127089
551	0.5039598486
552	0.5039425181
553	0.5039410027
554	0.5039090971
555	0.503909097
556	0.5038922576
557	0.5038894849
558	0.5038893168
559	0.5038842391
560	0.5038812907
561	0.5038787335
562	0.5038725867
563	0.5038002044
564	0.5037860635
565	0.5037706886
566	0.5037643204
567	0.5037459076
568	0.5037420104
569	0.5036553776
570	0.5036403637
571	0.5036387309
572	0.5036004269
573	0.5035972665
574	0.503533623
575	0.5035286326
576	0.5035228741
577	0.5035185807
578	0.5035143538
579	0.5034684685
580	0.5034666438
581	0.5034355552
582	0.5034168216
583	0.5034009387
584	0.5033991458
585	0.5033861666
586	0.5033208899
587	0.5033187248
588	0.5032666268
589	0.5032355743
590	0.5031960031
591	0.5031554276
592	0.5031454774
593	0.503126795
594	0.5030769855
595	0.5030753844
596	0.5030741423
597	0.5030683649
598	0.5030498632
599	0.5030372843
600	0.5030299227
601	0.5030264054
602	0.5028980004
603	0.5028961303
604	0.5028809943
605	0.5028243478
606	0.5027537962
607	0.5027524457
608	0.5027503316
609	0.5027464694
610	0.5027450095
611	0.5027365436
612	0.5026693965
613	0.5026663294
614	0.5026565095
615	0.5026396829
616	0.5026295816
617	0.5026190675
618	0.5025455688
619	0.5024698207
620	0.5024243935
621	0.5023601911
622	0.5022631902
623	0.5021945812
624	0.5021550534
625	0.5021236641
626	0.5021091186
627	0.5021091094
628	0.5020761553
629	0.5020749914
630	0.5020738705
631	0.5020412125
632	0.5020271811
633	0.5020270751
634	0.5020254149
635	0.5020237746
636	0.5020229374
637	0.5020213641
638	0.5020186649
639	0.501937311
640	0.5019373011
641	0.5019340989
642	0.5019142545
643	0.5019132591
644	0.5019123004
645	0.5019122904
646	0.5019108073
647	0.5018533557
648	0.5018532838
649	0.5018454564
650	0.5018055823
651	0.5018040072
652	0.5017967995
653	0.5017960876
654	0.5017463437
655	0.5017331218
656	0.5017318315
657	0.5017037566
658	0.5016971561
659	0.5016301585
660	0.501548046
661	0.501470213
662	0.5014698837
663	0.5014291382
664	0.5014279628
665	0.5013098009
666	0.501301934
667	0.5012917876
668	0.5012909447
669	0.5012890035
670	0.5012738878
671	0.5012720467
672	0.5012621328
673	0.5012530143
674	0.5012520066
675	0.5012194361
676	0.5012036293
677	0.5011932447
678	0.5011915766
679	0.5011820153
680	0.5011804387
681	0.5011724805
682	0.501156043
683	0.5010932439
684	0.5010821166
685	0.5010632901
686	0.5010619373
687	0.5010610536
688	0.5010567958
689	0.5010449321
690	0.5010440883
691	0.5010432879
692	0.5010432878
693	0.5009808495
694	0.5009808494
695	0.5009592961
696	0.5009431852
697	0.5009322792
698	0.5008527005
699	0.500804924
700	0.5007280665
701	0.500683997
702	0.5006736488
703	0.5006696094
704	0.5006690326
705	0.5006314928
706	0.5006064413
707	0.5006059133
708	0.5005948701
709	0.5005299958
710	0.5005256924
711	0.5005251825
712	0.5005238837
713	0.5005158026
714	0.5005152858
715	0.5005137451
716	0.5005127154
717	0.5004518044
718	0.5004324795
719	0.5003469736
720	0.5003457997
721	0.5003311646
722	0.5002692956
723	0.5002637027
724	0.5002576317
725	0.500256605
726	0.5001854015
727	0.5001849814
728	0.5001614139
729	0.5000882159
730	0.5000780524
731	0.5000288046
732	0.5000187665
733	0.5000160469
734	0.5000150367
735	0.4999251482
736	0.4999082887
737	0.4999073067
738	0.4999017216
739	0.4998977676
740	0.4998951313
741	0.4998743211
742	0.4998737793
743	0.4998734505
744	0.4998729661
745	0.499820383
746	0.4998064124
747	0.4998055513
748	0.4997900669
749	0.4997892444
750	0.4997889614
751	0.4997726241
752	0.499764992
753	0.4997109764
754	0.4997086685
755	0.4997077712
756	0.4997076392
757	0.4997063336
758	0.4997060726
759	0.4996927123
760	0.4996679228
761	0.499624676
762	0.4996236548
763	0.4996088985
764	0.4996040138
765	0.4996006239
766	0.4996003846
767	0.4996001543
768	0.4995999325
769	0.4995991384
770	0.4995528649
771	0.4995449257
772	0.4995053081
773	0.4995001578
774	0.499499539
775	0.4994256641
776	0.4994202244
777	0.4994130432
778	0.4994104268
779	0.4994102323
780	0.4993778713
781	0.4993301998
782	0.4993115662
783	0.4993113757
784	0.4993107405
785	0.4993040537
786	0.4992938497
787	0.4992932489
788	0.4992726991
789	0.4992666247
790	0.4992664593
791	0.4992630828
792	0.49926252
793	0.4992259045
794	0.4992254355
795	0.4992231829
796	0.4992225641
797	0.4992187349
798	0.4991754283
799	0.4991752805
800	0.4991674129
801	0.4991672038
802	0.4991570912
803	0.4991481697
804	0.4991471854
805	0.4991466152
806	0.4991464857
807	0.4990464281
808	0.499046428
809	0.4990463058
810	0.4990346605
811	0.4990191414
812	0.4990091088
813	0.4990031363
814	0.4989813962
815	0.4989726491
816	0.498972432
817	0.4989681976
818	0.4989681837
819	0.4989676785
820	0.4989675672
821	0.4989675535
822	0.4989674463
823	0.4989669737
824	0.4989566904
825	0.4989563387
826	0.4989214637
827	0.4989207928
828	0.4988898344
829	0.4988897408
830	0.4988884689
831	0.4988866604
832	0.4988309318
833	0.4988210989
834	0.4987690912
835	0.4987659574
836	0.4987659448
837	0.4987658412
838	0.4987658021
839	0.4987654694
840	0.4987484472
841	0.4987355614
842	0.4987097478
843	0.4986986597
844	0.4986983484
845	0.4986961805
846	0.4986355993
847	0.4986263087
848	0.4986263087
849	0.4986260102
850	0.4986256393
851	0.4986237612
852	0.4986234927
853	0.4986231529
854	0.4985351093
855	0.4985351093
856	0.4985348535
857	0.4985348535
858	0.4984868775
859	0.4984782175
860	0.4984781368
861	0.4984677535
862	0.4984676758
863	0.4984494802
864	0.4984481582
865	0.4984478404
866	0.4984458541
867	0.4984455175
868	0.4984437548
869	0.4984435186
870	0.4984434393
871	0.4984274722
872	0.498427268
873	0.4984272049
874	0.4984269151
875	0.4984126885
876	0.4984029141
877	0.4984028549
878	0.4984027978
879	0.4984010824
880	0.4984010275
881	0.4983929679
882	0.498388275
883	0.4983880554
884	0.4983880025
885	0.4983853181
886	0.4983423786
887	0.4983333854
888	0.4982940982
889	0.4982919015
890	0.4982206147
891	0.4982008722
892	0.4981982371
893	0.4981979802
894	0.4981703174
895	0.4981680323
896	0.498051955
897	0.4980513645
898	0.4980513161
899	0.4979728939
900	0.4979703616
901	0.4979303939
902	0.4979303454
903	0.4979184056
904	0.4979183606
905	0.4979142768
906	0.4979142282
907	0.4979141865
908	0.4978361176
909	0.4978255472
910	0.4977909099
911	0.4977181438
912	0.4977180962
913	0.4977180571
914	0.4977140011
915	0.4976829238
916	0.4976827083
917	0.4976825034
918	0.4976802858
919	0.4976800905
920	0.4976757777
921	0.4976756713
922	0.4976755667
923	0.4976309487
924	0.4976119128
925	0.4976089073
926	0.497607118
927	0.4976069214
928	0.4976033627
929	0.4976032686
930	0.4976005352
931	0.4975946387
932	0.4975638277
933	0.4975628631
934	0.497521325
935	0.4975182367
936	0.4974365915
937	0.4974364068
938	0.4974326628
939	0.4974263802
940	0.4974263802
941	0.4974263494
942	0.4974132475
943	0.4974132179
944	0.4974027751
945	0.4974021688
946	0.4973856423
947	0.4973854716
948	0.4973843329
949	0.4973841705
950	0.4973728281
951	0.4972766849
952	0.4972766848
953	0.4972746532
954	0.4972746288
955	0.4972037252
956	0.4972035714
957	0.4971896783
958	0.497179759
959	0.4971779051
960	0.4971778155
961	0.4971284334
962	0.4970801134
963	0.4969094914
964	0.4969083332
965	0.4969076364
966	0.4969011724
967	0.4969011397
968	0.4968961488
969	0.4968961173
970	0.496896087
971	0.496894952
972	0.4968948057
973	0.496839236
974	0.4968351571
975	0.496828583
976	0.4967431525
977	0.4967379023
978	0.4966960121
979	0.4966773718
980	0.4966473878
981	0.4966430486
982	0.4966430145
983	0.4966430084
984	0.4966428633
985	0.496640515
986	0.4966393472
987	0.4966390872
988	0.4966238644
989	0.4966238334
990	0.4966229478
991	0.496596262
992	0.4965961569
993	0.4965961569
994	0.4965917075
995	0.4965890906
996	0.4965852365
997	0.4965344545
998	0.4965289666
999	0.4965176603
