iter	Passed	Remaining
407	4860	7052
408	4876	7046
409	4892	7040
410	4914	7042
411	4929	7035
412	4941	7023
413	4963	7025
414	4979	7019
415	4992	7009
416	5004	6997
417	5015	6983
418	5027	6971
419	5040	6960
420	5052	6948
421	5065	6937
422	5077	6925
423	5089	6914
424	5101	6902
425	5114	6891
426	5128	6881
427	5140	6869
428	5151	6857
429	5164	6845
430	5175	6832
431	5187	6820
432	5200	6809
433	5212	6798
434	5225	6787
435	5239	6777
436	5252	6766
437	5262	6752
438	5274	6740
439	5287	6729
440	5299	6717
441	5311	6705
442	5324	6694
443	5338	6684
444	5351	6674
445	5363	6662
446	5384	6660
447	5400	6654
448	5417	6647
449	5433	6640
450	5449	6633
451	5465	6626
452	5479	6617
453	5495	6609
454	5512	6602
455	5527	6593
456	5542	6585
457	5558	6577
458	5573	6568
459	5589	6562
460	5605	6554
461	5620	6545
462	5646	6548
463	5660	6539
464	5675	6529
465	5690	6520
466	5704	6511
467	5719	6502
468	5734	6492
469	5749	6483
470	5762	6472
471	5779	6465
472	5799	6461
473	5819	6457
474	5843	6458
475	5858	6449
476	5872	6439
477	5876	6417
478	5891	6408
479	5906	6398
480	5921	6388
481	5936	6380
482	5970	6390
483	5989	6385
484	6007	6378
485	6025	6372
486	6041	6364
487	6060	6359
488	6078	6351
489	6128	6378
490	6175	6401
491	6205	6407
492	6224	6401
493	6244	6395
494	6262	6389
495	6279	6380
496	6301	6377
497	6326	6377
498	6347	6373
499	6366	6366
500	6381	6356
501	6403	6352
502	6422	6345
503	6440	6337
504	6459	6332
505	6479	6325
506	6500	6320
507	6524	6318
508	6543	6312
509	6548	6291
510	6567	6285
511	6585	6277
512	6605	6270
513	6625	6264
514	6644	6257
515	6661	6248
516	6681	6242
517	6700	6235
518	6715	6223
519	6730	6212
520	6744	6200
521	6761	6191
522	6781	6184
523	6801	6178
524	6820	6171
525	6846	6169
526	6873	6169
527	6894	6162
528	6913	6155
529	6933	6148
530	6951	6140
531	6981	6141
532	7000	6133
533	7018	6125
534	7038	6117
535	7059	6110
536	7077	6101
537	7096	6093
538	7116	6086
539	7134	6077
540	7152	6068
541	7172	6061
542	7191	6052
543	7207	6041
544	7228	6034
545	7248	6027
546	7256	6009
547	7274	6000
548	7294	5992
549	7311	5982
550	7331	5974
551	7350	5965
552	7367	5955
553	7385	5945
554	7404	5936
555	7436	5938
556	7457	5930
557	7478	5924
558	7507	5922
559	7535	5920
560	7559	5915
561	7578	5906
562	7593	5894
563	7607	5881
564	7622	5868
565	7636	5855
566	7651	5843
567	7666	5830
568	7681	5818
569	7694	5804
570	7708	5791
571	7720	5776
572	7734	5763
573	7747	5750
574	7762	5737
575	7778	5725
576	7793	5713
577	7807	5700
578	7820	5686
579	7835	5673
580	7850	5661
581	7867	5650
582	7884	5639
583	7913	5636
584	7938	5631
585	7957	5622
586	7997	5626
587	8017	5617
588	8033	5605
589	8058	5600
590	8072	5586
591	8086	5573
592	8100	5559
593	8114	5546
594	8129	5533
595	8143	5520
596	8159	5507
597	8173	5494
598	8187	5481
599	8203	5468
600	8216	5455
601	8229	5440
602	8244	5428
603	8258	5414
604	8272	5401
605	8285	5386
606	8299	5373
607	8314	5360
608	8329	5347
609	8343	5334
610	8358	5321
611	8374	5309
612	8389	5296
613	8403	5283
614	8418	5269
615	8442	5263
616	8462	5253
617	8486	5245
618	8506	5235
619	8525	5225
620	8542	5213
621	8560	5202
622	8589	5197
623	8640	5206
624	8685	5211
625	8709	5203
626	8728	5192
627	8748	5182
628	8767	5171
629	8786	5160
630	8805	5149
631	8839	5147
632	8861	5137
633	8880	5126
634	8894	5112
635	8904	5096
636	8919	5082
637	8933	5068
638	8948	5055
639	8963	5041
640	8996	5038
641	9013	5026
642	9027	5012
643	9041	4998
644	9055	4983
645	9069	4970
646	9084	4956
647	9099	4942
648	9112	4928
649	9126	4914
650	9141	4900
651	9156	4887
652	9169	4872
653	9184	4858
654	9197	4844
655	9212	4831
656	9227	4817
657	9238	4801
658	9251	4787
659	9264	4772
660	9279	4758
661	9293	4745
662	9305	4730
663	9320	4716
664	9333	4702
665	9348	4688
666	9362	4674
667	9377	4660
