iter	Logloss
112	0.2780725725
113	0.2779904518
114	0.277596085
115	0.2773470735
116	0.2767161674
117	0.2766990387
118	0.2764202697
119	0.2761526066
120	0.2760622137
121	0.2760401544
122	0.2756998108
123	0.2756589952
124	0.2755522283
125	0.2754179126
126	0.2751393499
127	0.2749009469
128	0.2746917774
129	0.274495181
130	0.2741320729
131	0.2736851094
132	0.2734687086
133	0.2732847715
134	0.2732625644
135	0.2731383309
136	0.2728414895
137	0.2727730036
138	0.2725289346
139	0.2724119736
140	0.272343207
141	0.2721631064
142	0.2720046413
143	0.2717170479
144	0.2716358267
145	0.2716072189
146	0.2712958259
147	0.2711055296
148	0.2710264615
149	0.2707823436
150	0.2706413453
151	0.2704064951
152	0.2703758016
153	0.2702210027
154	0.2701704984
155	0.2701158666
156	0.2700926478
157	0.2700867904
158	0.2700692075
159	0.2699239955
160	0.2698019314
161	0.2697901289
162	0.2697776311
163	0.2697583699
164	0.2696298261
165	0.2694776699
166	0.2691689758
167	0.2690477142
168	0.2689269549
169	0.2688736187
170	0.2687262843
171	0.2687227823
172	0.2686717735
173	0.2684949762
174	0.2684821123
175	0.2683850232
176	0.2683635806
177	0.2683576903
178	0.2682362373
179	0.2682286808
180	0.2679424774
181	0.267877026
182	0.2677329611
183	0.2676304516
184	0.267559217
185	0.2674479814
186	0.267273617
187	0.267245098
188	0.2672178121
189	0.2671310695
190	0.2670882933
191	0.2670741184
192	0.2670068756
193	0.2669411437
194	0.2669295136
195	0.266862126
196	0.2666592801
197	0.2666214289
198	0.2665186164
199	0.2664041677
200	0.2663613896
201	0.2663566274
202	0.2661554923
203	0.2661107376
204	0.2660869583
205	0.2659574491
206	0.2658339329
207	0.2657707292
208	0.2656822131
209	0.2656452341
210	0.2655094216
211	0.2653749073
212	0.2653520965
213	0.2652492401
214	0.2650998732
215	0.2649064851
216	0.2648235606
217	0.2648033185
218	0.2647708629
219	0.2647610935
220	0.2647089467
221	0.2646957245
222	0.2646509349
223	0.2645995091
224	0.2645794137
225	0.2644407715
226	0.264428429
227	0.2644124214
228	0.264325414
229	0.2642485228
230	0.2642233538
231	0.2642096146
232	0.2641197013
233	0.2640887463
234	0.2640404461
235	0.2639424738
236	0.2639019351
237	0.2638996751
238	0.2638492898
239	0.2638448631
240	0.2637628336
241	0.2637081186
242	0.2636793894
243	0.2636658272
244	0.2636021856
245	0.2635580483
246	0.2635578354
247	0.2634994693
248	0.2634867356
249	0.2634833858
250	0.2634817897
251	0.2634735934
252	0.2633717021
253	0.2632675619
254	0.2631096381
255	0.2630760706
256	0.2629212123
257	0.2628773485
258	0.2628074004
259	0.26279217
260	0.2627840744
261	0.2627159899
262	0.2626387105
263	0.2626217884
264	0.262506474
265	0.2624875399
266	0.2623960098
267	0.2623257887
268	0.2622675612
269	0.262260925
270	0.26209438
271	0.262081852
272	0.2620627823
273	0.2620395709
274	0.2619757655
275	0.261937497
276	0.2619271792
277	0.2617850582
278	0.2617792319
279	0.2616934449
280	0.2616644756
281	0.2616327777
282	0.2614778484
283	0.2614028199
284	0.2613491142
285	0.2612442436
286	0.2611195302
287	0.2611108566
288	0.2610904709
289	0.2610058454
290	0.2608738204
291	0.2608106141
292	0.2607875982
293	0.2607407611
294	0.2606175888
295	0.2605592267
296	0.2604297561
297	0.260393808
298	0.2603330259
299	0.2603223072
300	0.2603038228
301	0.2602760253
302	0.260251999
303	0.2602354721
304	0.2601996269
305	0.2600628188
306	0.2600403899
307	0.2600389832
308	0.2599946463
309	0.2599642183
310	0.2599604281
311	0.2599580216
312	0.2599509847
313	0.2598442323
314	0.2598373521
315	0.2598292146
316	0.2597472549
317	0.2597309079
318	0.2596847444
319	0.2596773617
320	0.2596564676
321	0.2596254866
322	0.2595883971
323	0.2595797182
324	0.2594683194
325	0.2594664859
326	0.2594625937
327	0.2594378
328	0.259415568
329	0.2593870928
330	0.2593836619
331	0.2593620839
332	0.2593509095
333	0.2592529936
334	0.2592496305
335	0.259219451
336	0.2590937683
337	0.2590670846
338	0.2590619797
339	0.2590418696
340	0.2590112602
341	0.2589759003
342	0.2589657929
343	0.2589643445
344	0.258962791
345	0.2589232271
346	0.2589066772
347	0.2588949956
348	0.2588793381
349	0.2588445271
350	0.258820548
351	0.2588159907
352	0.2587981173
353	0.2586918389
354	0.2585987786
355	0.2585117487
356	0.25850549
357	0.2584544237
358	0.2584243218
359	0.2584215258
360	0.258421219
361	0.2583905366
362	0.2583600544
363	0.2583584798
364	0.2582089465
365	0.2581304
366	0.2580966867
367	0.2579906731
368	0.2579627571
369	0.2579362012
370	0.2579201907
371	0.2578258115
372	0.2576906121
373	0.2576436609
374	0.2576226911
375	0.2575992828
376	0.2575679376
377	0.2574547817
378	0.2574031861
379	0.2573900685
380	0.2573472293
381	0.2573289941
382	0.2573128998
383	0.2572859149
384	0.2572702876
385	0.2572427606
386	0.2571353114
387	0.2570777537
388	0.2570756764
389	0.2570071184
390	0.2569935971
391	0.2569713722
392	0.2569246398
393	0.2568757211
394	0.2567330711
395	0.2567248956
396	0.2566148819
397	0.2565041488
398	0.256437568
399	0.2563345973
400	0.2563262815
401	0.2562941062
402	0.2562896367
403	0.2562668768
404	0.2562472942
405	0.2562405502
406	0.2561886482
407	0.2561826258
408	0.256154217
409	0.2561166446
410	0.2560616785
411	0.2560532152
412	0.2559287675
413	0.2559089579
414	0.2559036181
415	0.2558773341
416	0.2558567933
417	0.2558505063
418	0.2558300044
419	0.2558259932
420	0.2557920278
421	0.25577794
422	0.2557624791
423	0.2557521911
424	0.2557521241
425	0.2557105112
426	0.2556961225
427	0.2556590735
428	0.2556504246
429	0.2556420584
430	0.2556220433
431	0.2555929268
432	0.2555880746
433	0.2555670379
434	0.2555608006
435	0.2554659932
436	0.2554243064
437	0.2553956722
438	0.2553915445
439	0.2553735983
440	0.2553621617
441	0.25533708
442	0.2552161893
443	0.255205636
444	0.2552048545
445	0.2551931606
446	0.2551862012
447	0.2551803351
448	0.2551544028
449	0.2551418005
450	0.2551413134
451	0.2550906134
452	0.2550872131
453	0.2550840696
454	0.2550695139
455	0.2550228621
456	0.2549846132
457	0.2549302823
458	0.2548864158
459	0.2548752689
460	0.2548725215
461	0.2548506825
462	0.2548233603
463	0.2548147803
464	0.254786026
465	0.2547327426
466	0.2546981136
467	0.2546198679
468	0.2546122023
469	0.2545909908
470	0.254514564
471	0.2544625468
472	0.254446601
473	0.2544453227
474	0.2543711863
475	0.2542631734
476	0.2542508511
477	0.254183185
478	0.2541019589
479	0.2540941747
480	0.2540914588
481	0.2540560803
482	0.2540386208
483	0.2540051873
484	0.2539883454
485	0.2539444451
486	0.253859784
487	0.2538500779
488	0.2537419657
489	0.2536596331
490	0.2536491021
491	0.2536269908
492	0.2536037177
493	0.2534758329
494	0.2534587805
495	0.2532917775
496	0.253268001
497	0.2531802627
498	0.2531041711
499	0.2530238483
500	0.253007387
501	0.252941345
502	0.2528917154
503	0.2528520688
504	0.2526269598
505	0.2525655799
506	0.252544536
507	0.252541696
508	0.2525176439
509	0.2525095591
510	0.2524900957
511	0.2523685749
512	0.2523645321
513	0.2523510128
514	0.2522904022
515	0.2522791033
516	0.2522529255
517	0.2522424781
518	0.2521939464
519	0.2521924664
520	0.2521725017
521	0.2521398448
522	0.2521066916
523	0.2520928391
524	0.2520716904
525	0.2520165624
526	0.2518970538
527	0.2517620172
528	0.2517229416
529	0.251645842
530	0.251636551
531	0.2516236064
532	0.2516030337
533	0.2514841173
534	0.2514659122
535	0.2514595117
536	0.251417958
537	0.2514076304
538	0.2513661894
539	0.2513558283
540	0.2513533857
541	0.2513166669
542	0.2512921209
543	0.2512837158
544	0.2512641863
545	0.2512544839
546	0.2512483717
547	0.251232405
548	0.2512095607
549	0.2511288489
550	0.2511062793
551	0.2510961776
552	0.2510927823
553	0.2510504136
554	0.2510388618
555	0.2510177194
556	0.2510106132
557	0.2508841198
558	0.2508813742
559	0.2508322569
560	0.2507060045
561	0.2507049982
562	0.250702202
563	0.2506933523
564	0.2506837478
565	0.2506495807
566	0.2506124444
567	0.2505376946
568	0.2505101084
569	0.2504886701
570	0.2504871737
571	0.250457268
572	0.2504476369
573	0.2504343785
574	0.2504164119
575	0.2504121529
576	0.2503804895
577	0.2503563362
578	0.2503510295
579	0.2503321403
580	0.2502819656
581	0.250252684
582	0.2502507198
583	0.2502491409
584	0.2502441819
585	0.2501922517
586	0.2501857686
587	0.2501242307
588	0.2500995455
589	0.2500416748
590	0.2499945158
591	0.2499900452
592	0.2499853952
593	0.2499735846
594	0.2499631603
595	0.2499078468
596	0.2499064587
597	0.2498964444
598	0.2498595128
599	0.2498548115
600	0.2498366594
601	0.2498142968
602	0.2497994555
603	0.2497437668
604	0.2497291108
605	0.24970715
606	0.2496559298
607	0.2496487919
608	0.2496060435
609	0.2494610573
610	0.2494335418
611	0.2494213312
612	0.2494030354
613	0.2492804314
614	0.2492642555
615	0.2492528243
616	0.2492433101
617	0.2492372903
618	0.249231033
619	0.2492211173
620	0.249208271
621	0.2492001466
622	0.2491616223
623	0.2491133271
624	0.249100295
625	0.2490538926
626	0.2490215707
627	0.2489792829
628	0.2489596554
629	0.2488941659
630	0.2488743497
631	0.2488616639
632	0.2487886153
633	0.248741385
634	0.2487144179
635	0.2486784907
636	0.2486666296
637	0.2486033121
638	0.2485186399
639	0.2484565266
640	0.2484509383
641	0.2484069089
642	0.2484003959
643	0.2483739144
644	0.2483552131
645	0.24834708
646	0.2482209617
647	0.2481992173
648	0.2481553544
649	0.2481408519
650	0.248131413
651	0.2480676674
652	0.2480473176
653	0.24804423
654	0.2480414624
655	0.2480397955
656	0.248034621
657	0.2480215389
658	0.2480160942
659	0.2479814722
660	0.247874191
661	0.2478228961
662	0.2478142635
663	0.2477944959
664	0.2477738612
665	0.247748172
666	0.2477457208
667	0.2477418121
668	0.2476990711
669	0.2476872103
670	0.2476775601
671	0.2476678484
672	0.2476166385
673	0.2476045748
674	0.2475809174
675	0.2475166066
676	0.2474910731
677	0.2474872562
678	0.2474816928
679	0.2474439481
680	0.2474391332
681	0.2474240411
682	0.2474015654
683	0.2474012595
684	0.247398333
685	0.2473445117
686	0.2473438145
687	0.247339022
688	0.2473205908
689	0.2473104923
690	0.2473101339
691	0.2472998559
692	0.2472900088
693	0.2472802398
694	0.2472594472
695	0.2472539855
696	0.2472492178
697	0.2472246151
698	0.2472243929
699	0.2472134066
700	0.2472115435
701	0.2472084482
702	0.2471821916
703	0.247172802
704	0.2471526291
705	0.247136866
706	0.2471318574
707	0.2470851892
708	0.2470806425
709	0.2470403152
710	0.2470320472
711	0.2469891212
712	0.2469807272
713	0.2469600198
714	0.2469518178
715	0.2469320856
716	0.2468369171
717	0.2467975802
718	0.2467879482
719	0.2467795196
720	0.246671743
721	0.2465567399
722	0.2465560163
723	0.2465333887
724	0.2465108326
725	0.2464964917
726	0.2464859403
727	0.2464799304
728	0.2464787359
729	0.2464675161
730	0.2464495405
731	0.2464315934
732	0.2464268328
733	0.2464194681
734	0.2463811548
735	0.2463798018
736	0.2463427457
737	0.2462374053
738	0.246223007
739	0.2461756546
740	0.2461732344
741	0.2461666893
742	0.2461582192
743	0.246138555
744	0.2461218008
745	0.2461123577
746	0.2461113345
747	0.2461096065
748	0.2460573919
749	0.2460573579
750	0.2459482678
751	0.2459428334
752	0.245942365
753	0.2459404308
754	0.2457680578
755	0.2457636598
756	0.24575496
757	0.2457092519
758	0.2457079171
759	0.2457026028
760	0.2456919259
761	0.2456911835
762	0.2456892806
763	0.2456882111
764	0.2456873941
765	0.2456870703
766	0.2456816338
767	0.2456484077
768	0.2456225751
769	0.245615385
770	0.2456132634
771	0.2456005444
772	0.2455991127
773	0.2455135297
774	0.245482894
775	0.2454806428
776	0.245422983
777	0.2454197633
778	0.2454189689
779	0.2454154737
780	0.2454152587
781	0.2454051552
782	0.2453288323
783	0.2453286539
784	0.2453225259
785	0.2453222164
786	0.2453172281
787	0.2452830575
788	0.2452429579
789	0.2452383365
790	0.2452000752
791	0.2450972021
792	0.2450908605
793	0.2450835993
794	0.2450799816
795	0.2449450665
796	0.2449378471
797	0.2449297952
798	0.2449196538
799	0.2449022166
800	0.2448788386
801	0.2448695232
802	0.2448654785
803	0.2448591173
804	0.2448214372
805	0.2448067941
806	0.2447775127
807	0.2447727576
808	0.2447712667
809	0.24477066
810	0.2447435288
811	0.2447399809
812	0.2447352916
813	0.244714485
814	0.2446855228
815	0.2446791805
816	0.2446202788
817	0.2446185391
818	0.2446179346
819	0.2446047199
820	0.2445945306
821	0.244587214
822	0.2445824693
823	0.2445733222
824	0.2445590712
825	0.2445494335
826	0.2445423116
827	0.2445209929
828	0.2445133382
829	0.2445123801
830	0.2444571476
831	0.2444249843
832	0.2444163752
833	0.2444161954
834	0.2444090783
835	0.2444087482
836	0.2444071136
837	0.2443952958
838	0.2443934498
839	0.2443826054
840	0.2443660363
841	0.2443600081
842	0.2442772583
843	0.2442624535
844	0.2442602917
845	0.2442588446
846	0.2442092376
847	0.2441408567
848	0.2440842971
849	0.2440751179
850	0.2440680312
851	0.2440544052
852	0.2440528751
853	0.2439931271
854	0.2439817123
855	0.2439656863
856	0.2439617042
857	0.2439059352
858	0.2438908661
859	0.2438804268
860	0.2438660222
861	0.2438610773
862	0.2438368871
863	0.2438335139
864	0.2438246812
865	0.2437139718
866	0.2436537617
867	0.243646972
868	0.2436437836
869	0.2436425392
870	0.2436291046
871	0.2436113913
872	0.2436078633
873	0.2436040127
874	0.2435947584
875	0.2435219817
876	0.243518663
877	0.2435119187
878	0.2435018481
879	0.2434895494
880	0.2434879755
881	0.2434695349
882	0.243441919
883	0.2434382403
884	0.2434286914
885	0.243414032
886	0.2433979536
887	0.2433453605
888	0.2433350013
889	0.2433243807
890	0.2433204408
891	0.2433059834
892	0.2433043421
893	0.2432372263
894	0.2432319858
895	0.2432302715
896	0.2432139667
897	0.2431424798
898	0.2430995722
899	0.2430132777
900	0.2429859463
901	0.2428888992
902	0.2428798851
903	0.2428681348
904	0.2427896343
905	0.2427844313
906	0.2427831149
907	0.2427353738
908	0.2426871716
909	0.2426738926
910	0.2426446811
911	0.2426396882
912	0.242623586
913	0.2426180905
914	0.2426171365
915	0.2426145644
916	0.2426116522
917	0.2426040508
918	0.242603796
919	0.2425901294
920	0.2425774803
921	0.2425718783
922	0.2425309916
923	0.2425161006
924	0.2425027479
925	0.2423887601
926	0.2423869153
927	0.2423848081
928	0.2423721079
929	0.242331971
930	0.2423234847
931	0.2423150401
932	0.2422944633
933	0.242293483
934	0.2422660626
935	0.2422655044
936	0.2422633367
937	0.2422411483
938	0.2422348832
939	0.2422307637
940	0.242228397
941	0.2422204336
942	0.2421807124
943	0.2421098547
944	0.2420665675
945	0.2420571615
946	0.2420384683
947	0.2419741219
948	0.2419700878
949	0.2419633484
950	0.2419547323
951	0.2419546826
952	0.241943832
953	0.2419373668
954	0.2419260824
955	0.2419226373
956	0.241919384
957	0.2418868525
958	0.2418674211
959	0.241852121
960	0.2418495577
961	0.2418026189
962	0.2417870502
963	0.2417830655
964	0.2417398436
965	0.2417365759
966	0.2417289382
967	0.2417250161
968	0.2417230383
969	0.2417159705
970	0.2417019592
971	0.2416895778
972	0.2416825724
973	0.241678413
974	0.2416007847
975	0.2416002853
976	0.2415994143
977	0.2415916552
978	0.2415854274
979	0.241571787
980	0.2415685258
981	0.2415683434
982	0.2415552661
983	0.2415497225
984	0.2415494329
985	0.241549036
986	0.2415286863
987	0.2415256118
988	0.2415253233
989	0.2415034789
990	0.2414987697
991	0.2414928453
992	0.2414503833
993	0.241428399
994	0.2414172308
995	0.2413934697
996	0.2413855133
997	0.2413596478
998	0.2413544646
999	0.2413480361
